title,price,size,Color,SKU,Category,short description,Description,path
Zoltan Gym Tee,£29.00,"XS, S, M, L, XL","Blue, Green, Yellow",MS06,Tees,This is a variable product called a Zoltan Gym Tee,"This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.
• Relaxed fit. 
• Crew neckline. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Tees
Sprite Stasis Ball 55 cm,£23.00,"Yoga, Gym","Men, Women, Boys, Girls, Unisex",24-WG081-blue,Fitness Equipment,This is a simple product called Sprite Stasis Ball 55 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it’s a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.",Home/Gear/Fitness Equipment
test product,£25.00,,,test-product,Uncategorized,dont buy this,some description,Home/Uncategorized
Harmony Lumaflex™ Strength Band Kit,£22.00,Gym,"Men, Women, Unisex",24-UG03,Fitness Equipment,This is a simple product called Harmony Lumaflex™ Strength Band Kit ,Forget fancy machines and costly memberships – the Harmony Lumaflex™ Stength Band Kit is all you need for an amazing workout. The kit has everything you need for a range of strengthening and toning exercises.,Home/Gear/Fitness Equipment
Orestes Yoga Pant,£66.00,"32, 33, 34, 36","Black, Blue, Green",MP10,Erin Recommends|Clothing,This is a variable product called a Orestes Yoga Pant ,"The Orestes Yoga Pant is a yoga basic that sustains the novice yogi well into the expert stage. Organic sustainable cotton and 9% stretch spandex let your body bend to your will while your conscience stays clear.
• A yoga essential.
• Breathable stretch organic cotton/spandex.
• Standard Fit.",Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Erin Recommends|Clothing
Taurus Elements Shell,£65.00,"XS, S, M, L, XL","Blue, White, Yellow",MJ09,Jackets,This is a variable product called a Taurus Elements Shell,"What’s a little rain or snow when you’re inside the Taurus Elements Shell? This specially engineered Cocona® jacket lets you enjoy the great outdoors and brave the elements, thanks to the all-waterproof, breathable exterior.
• Yellow 1/4 zip pullover. 
• Two chest pockets.
• Standard fit. 
• Waterproof, breathable, seam sealed. 
• Cocona® performance fabric. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Jackets
Rocco Gym Tank,£24.00,"XS, S, M, L, XL",Blue,MT05,Tanks,This is a variable product called a Rocco Gym Tank,"Weights? Heavy Bag? Bikram? However you get sweaty, you’ll be prepared with the moisture-wicking all-purpose Rocco Gym Tank. The free-moving cut gives you maximum range of motion, with flatlock seams to eliminate chafing.
• Light blue heather gray tank.
• Quick-drying, moisture-wicking.
• 4-way stretch construction.
• Flatlock seams prevent chafing.
• Mesh at back for breathability.
• 100% Polyester.
• UPF 50 protection.",Home/Clothing/Men/Tops/Tanks
Orion Two-Tone Fitted Jacket,£72.00,"XS, S, M, L, XL","Black, Red, Yellow",MJ07,Jackets,This is a variable product called a Orion Two-Tone Fitted Jacket,"While you’re getting fit, you need a fitted jacket to match. Striking color blocking patterns on hood, shoulders and arms are hallmarks of the Orion Two-Tone Fitted Jacket. They provide eye-catching contrast against the rich, torso tones of this 100% polyester, moisture-wicking essential.
• Red full zip fleece with gray insets.
• Double-knit construction.
• Full athletic cut.
• Set in sleeves.
• Front pouch pocket.",Home/Clothing/Men/Tops/Jackets
Erika Running Short,£45.00,,,WSH12,Erin Recommends|Clothing,This is a variable product called Erika Running Shorts,"A great short with a body-hugging design, the Erika Running Short is perfect for runners who prefer a fitted short rather than the traditional baggy variety.
• Seafoam pattern running shorts.
• Elastic waistband.
• Snug fit.
• 4” inseam.
• 76% premium brushed Nylon / 24% Spandex.",Home/Clothing/Women/Bottoms/Shorts|Clothing/Collections/Erin Recommends|Clothing
Maxima Drawstring Short,£28.00,"28, 29, 30, 31, 32","Gray, Orange, Yellow",WSH02,Women Sale|Clothing,This is a variable product called a Maxima Drawstring Short,"Even laid-back women like to stay stylish, and that’s just what the Maxima Drawstring Short delivers. An elastic waist keeps the fit flexible, on the deck at home or on a trail walk. Sporty tennis flair adds an athletic accent.
• Light gray run shorts 
– cotton polyester. 
• Contrast binding. 
• 3″ inseam. 
• Machine wash/dry.",Home/Clothing/Women/Bottoms/Shorts|Clothing/Promotions/Women Sale|Clothing
Deion Long-Sleeve EverCool™ Tee,£39.00,"XS, S, M, L, XL","Black, Green, White",MS07,Tees,This is a variable product called a Deion Long-Sleeve EverCool™ Tee,"When you’re training, ordinary tees don’t cut it. That’s why the Dion Long-Sleeve EverCool™ Tee features revolutionary Cocona® fabric derived from a renewable resource: coconut shells. This unique material protects you from harmful UV rays, wicks away sweat, controls stink and dries quickly.
• Fitted. 
• Contrast inner neck tape. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Tees
Carina Basic Capri,£51.00,"28, 29","Black, Blue, Purple",WP09,Pants|Clothing,This is a variable product called a Carina Basic Capri,"Perfect as workout pants or “accessory,” the Carina Basic Capri is comfy as it is practical — try it under skirts or shorts.
• Black capris with rouching detail.
• 93% cotton, 7% spandex.
• Elasticized waistband.
• Reinforced seams with exposed topstitching.
• Soft, medium-weight jersey with added stretch.",Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing
Bolo Sport Watch,£49.00,"Recreation, Sports",Women,24-WG01,Watches,This is a simple product called Bolo Sport Watch,"The Bolo Sport Watch is sleek, sporty and sized just right to fit your smaller wrist. Easy to read and set up, it features a large digital face and button-activated alarm and stopwatch. The soft-touch resin band promises no-pinch comfort, while the water-resistant design lets you take your workout to the lap pool.",Home/Gear/Watches
Cassia Funnel Sweatshirt,£48.00,"XS, S, M, L, XL","Orange, Purple, White",WH08,Performance Fabrics|Clothing,This is a variable product called a Cassia Funnel Sweatshirt,"The casual Cassia Funnel Sweatshirt sports front angled pockets and a drawstring stretch funnel hoodie. A cowl front neck pairs with a tagless label at back neck.
• White full zip hoodie with gray detail.
• 65% Cotton/28% Nylon/7% Spandex.
• Front slash pockets.
• Tagless label at back neck.",Home/Clothing/Women/Tops/Hoodies & Sweatshirts|Clothing/Promotions/Women Sale|Clothing/Collections/Performance Fabrics|Clothing
Caesar Warm-Up Pant,£35.00,"32, 33, 34, 36","Black, Gray, Purple",MP01,Pants|Clothing,This is a variable product called a Caesar Warm-Up Pant,"Command your workout and keep your muscles limber in the Caesar Warm-Up Pant. Engineered CoolTech™ fabric wicks away moisture so you don’t have to worry about sweat and discomfort. The drawstring-adjustable waist helps make sure your pants fit properly.
• Light gray heather knit straight leg pants.
• Relaxed fit. 
• Inseam: 32″. 
• Machine wash/dry.
• CoolTech™ wicking fabric.",Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing
Bruno Compete Hoodie,£63.00,"XS, S, M, L, XL","Black, Blue, Green",MH03,Eco Friendly|Clothing,This is a variable product called a Bruno Compete Hoodie,"Stay comfortable and stay in the race no matter what the weather’s up to. The Bruno Compete Hoodie’s water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.
• Full zip black hoodie pullover. 
• Adjustable drawstring hood. 
• Ribbed cuffs/waistband. 
• Kangaroo pocket. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Hoodies & Sweatshirts|Clothing/Collections/Eco Friendly|Clothing
Breathe-Easy Tank,£34.00,"XS, S, M, L, XL","Purple, White, Yellow",WT09,Erin Recommends|Clothing,This is a variable product called a Breathe-Easy Tank,"The Breathe Easy Tank is so soft, lightweight, and comfortable, you won’t even know it’s there — until its high-tech Cocona® fabric starts wicking sweat away from your body to help you stay dry and focused. Layer it over your favorite sports bra and get moving.
• Machine wash/dry.
• Cocona® fabric.",Home/Clothing/Women/Tops/Bras & Tanks|Clothing/Promotions/Women Sale|Clothing/Collections/Erin Recommends|Clothing
Bess Yoga Short,£28.00,"28, 29, 30, 31, 32","Blue, Purple, Yellow",WSH05,Women Sale|Clothing,This is a variable product called a Bess Yoga Short,"Designed for intense physical activity – think bikram – our Bess Yoga Short features moisture-wicking, four-way stretch fabric that lets you move in every which way. A vented gusset adds breathability and range of motion.
• Navy cotton shorts with light bue waist detail.
• Front shirred waistband.
• Flat-lock, chafe-free side seams.
• Vented gusset.
• Hidden interior pocket.
• Sustainable and recycled fabric.",Home/Clothing/Women/Bottoms/Shorts|Clothing/Promotions/Women Sale|Clothing
Bella Tank,£29.00,"XS, S, M, L, XL","Black, Blue, Orange",WT01,Eco Friendly|Clothing,This is a variable product called a Bella Tank,"Style, performance and comfort mix it up in the Bella Tank. With striking color block contrast, fitted form and a built-in bra, you’ll be supported and stylish at the same time.
• Navy blue tank top – cotton.
• Feminine scoop neckline.
• Power mesh lining in shelf bra for superior support.
• Soft, breathable fabric.
• Dry wick fabric to stay cool and dry.",Home/Clothing/Women/Tops/Bras & Tanks|Clothing/Collections/Eco Friendly|Clothing
Bardot Capri,£48.00,"28, 29","Black, Green, Red",WP08,Pants|Clothing,This is a variable product called a Bardot Capri,"Black is back — was it ever gone? — which means all your favorite tops will get along with the comfortable and versatile Bardot Capri.
• Black capris with pink waistband.
• Cropped leggings.
• Waistband drawcord. 
• Flat, thin and flattering.
• Made with organic fabric.",Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing
Beaumont Summit Kit,£42.00,"XS, S, M, L, XL","Orange, Red, Yellow",MJ01,Jackets,This is a variable product called a Beaumont Summit Kit,"The smooth nylon shell around the Beaumont Summit Kit combats wind, reinforced with a cold-fighting brushed fleece layer. The jacket is reversible, giving you a new look for the return trek. Ample pocket space rounds out this hiker’s paradise package.
• Yellow full zip rain jacket.
• Full-zip front. 
• Stand-up collar. 
• Elasticized cuffs. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Jackets
Balboa Persistence Tee,£29.00,"XS, S, M, L, XL","Gray, Green, Orange",MS03,Tees,This is a variable product called a Balboa Persistence Tee,"The Balboa Persistence Tee is a must-have for any athlete, Philadelphia or elsewhere. We took the best of performance apparel, cut the fluff and boiled it down to the basics for a lightweight, quick-drying t-shirt.
• Crew neckline. 
• Semi-fitted. 
• Cocona® performance fabric. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Tees
Autumn Pullie,£57.00,"XS, S, M, L, XL","Green, Purple, Red",WH03,Hoodies & Sweatshirts,This is a variable product called a Autumn Pullie,"With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.
• Cayenne Short-Sleeve roll neck sweatshirt. 
• Relaxed fit. 
• Short-Sleeves. 
• Machine wash/dry.",Home/Clothing/Women/Tops/Hoodies & Sweatshirts
Augusta Pullover Jacket,£57.00,"XS, S, M, L, XL","Blue, Orange, Red",WJ03,Jackets,This is a variable product called a Augusta Pullover Jacket,"It’s hard to be uncomfortable in the Augusta Pullover Jacket with ¼ zip. With an incredibly soft fleece lining and textured outer fabric, it offers reliable protection from the elements and a cozy fit as well.
• Pink half-zip pullover. 
• Front pouch pockets. 
• Fold-down collar.",Home/Clothing/Women/Tops/Jackets
Atomic Endurance Running Tee (V-neck),£28.00,"XS, S, M, L, XL","Blue, Green, Yellow",MS11,Tees,This is a variable product called a Atomic Endurance Running Tee (V-neck),"Reach your limit and keep on going in the Atomic Endurance Running Tee. Built to help any athlete push past the wall with loads of performance features.
• Lime heathered v-neck tee. 
• Ultra-lightweight.
• Moisture-wicking Cocona® fabric.
• Machine wash/dry.",Home/Clothing/Men/Tops/Tees
Atomic Endurance Running Tee (Crew-Neck),£29.00,"XS, S, M, L, XL","Black, Blue, Red",MS12,Tees,This is a variable product called a Atomic Endurance Running Tee (Crew-Neck),"Like it’s v-neck counterpart, the crew-neck Atomic Tee will get you to your goal and beyond with its many load-bearing features: ultra-lightweight, moisture-wicking Cocona® fabric, chafe-free flatlock seams and an ergonomic cut that moves with your body.
• Red polyester tee.
• Crew neckline. 
• Cocona® performance fabric. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Tees
Dash Digital Watch,£92.00,"Athletic, Sports, Outdoor, Gym",Men,24-MG02,New Luma Yoga Collection,This is a simple product called Dash Digital Watch,"The Dash Digital Watch will challenge you to push harder and longer. Log workouts by date, average, and segment times, and recharge by setting hydration and nutrition alarms. This watch is styled with a sleek, square face and durable rubber strap for a long life.",Home/Gear/Watches|Collections/New Luma Yoga Collection
Atlas Fitness Tank,£18.00,"XS, S, M, L, XL",Blue,MT11,Eco Friendly|Clothing,This is a variable product called a Atlas Fitness Tank,"From weekend warrior to Warrior Pose II, no role can beat the Atlas Fitness Tank, a versatile top for gym and yoga studio. Wicking-weave soft fabric helps prevent uncomfortable chafing.
• Teal scoop neck cotton tank.
• Triblend, soft fabric.
• Relaxed fit.",Home/Clothing/Men/Tops/Tanks|Clothing/Collections/Eco Friendly|Clothing
Daria Bikram Pant,£51.00,"28, 29","Black, Gray, White",WP10,Eco Friendly|Clothing,This is a variable product called a Daria Bikram Pant,"The Daria Bikram Pant is designed to stretch and move with your body to make extreme yoga extremely comfortable.
• Heather gray capris with pink striped waist.
• Flatlock seams.
• Interior pocket.",Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Eco Friendly|Clothing
Cruise Dual Analog Watch,£55.00,Recreation,Men,24-MG05,New Luma Yoga Collection,This is a simple product called Cruise Dual Analog Watch,"Whether you’re traveling or wish you were, you’ll never let time zones perplex you again with the Cruise Dual Analog Watch. The thick, adjustable band promises a comfortable, personalized fit to this classy, modern time piece.",Home/Gear/Watches|Collections/New Luma Yoga Collection
Daphne Full-Zip Hoodie,£59.00,"XS, S, M, L, XL",Purple,WH06,Hoodies & Sweatshirts,This is a variable product called a Daphne Full-Zip Hoodie,"The Daphne Hoodie is an attractive yet rugged layering or outer piece, especially for chilly days en route the studio, doing yardwork or enjoying outdoor recreation.
• Purple full zip hoodie with pink accents. 
• Heather texture.
• 4-way stretch.
• Pre-shrunk.
• Hood lined in vegan Sherpa for added warmth.
• Ribbed hem on hood and front pouch pocket.
• 60% Cotton / 40% Polyester.",Home/Clothing/Women/Tops/Hoodies & Sweatshirts
Cronus Yoga Pant,£48.00,"32, 33, 34, 36","Black, Blue, Red",MP12,Pants|Clothing,This is a variable product called a Cronus Yoga Pant ,"Guys who love yoga love this all-purpose yoga pant. Designed for yoga, gym and lounge, the Cronus Yoga Pant is a loose-fitting, classic-style pant made from a lightweight blend of cotton, recycled polyester and a touch of Spandex for the stretch factor.
• Drawstring waist.
• Loose, straight-leg fit.
• Lightweight cotton-recycled blend.
• Front pockets with stitching detail.
• Elastic ankle.",Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing
Crown Summit Backpack,£38.00,"Gym, Hiking, Overnight, School, Trail, Travel, Urban",Solid,24-MB03,Bags,This is a simple product called Crown Summit Backpack,"The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.",Home/Gear/Bags
Cora Parachute Pant,£75.00,"28, 29","Black, Blue, White",WP04,Pants|Clothing,This is a variable product called a Cora Parachute Pant,"Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.
• Light blue parachute pants.
• Power mesh internal waistband for support.
• Internal waistband pocket.
• Antimicrobial finish.",Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing
Compete Track Tote,£32.00,"Gym, School, Yoga",Solid,24-WB02,Bags,This is a simple product called Compete Track Tote,"The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.",Home/Gear/Bags
Cobalt CoolTech™ Fitness Short,£44.00,"32, 33, 34, 36","Black, Blue, Red",MSH01,Erin Recommends|Clothing,This is a variable product called a Cobalt CoolTech™ Fitness Short,"It’s not rocket surgery: the hotter your conditions, the more you need to stay cool. That’s why the Cobalt CoolTech™ Fitness Short features built-in technology and side perforations that keep you ventilated and comfortable for the distance. The elastic waist promises a personalized fit.
• Light blue nylon shorts.
• Relaxed fit. 
• 5″ inseam. 
• Machine wash/dry.",Home/Clothing/Men/Bottoms/Shorts|Clothing/Collections/Erin Recommends|Clothing
Clamber Watch,£54.00,"Recreation, Athletic, Outdoor, Gym",Women,24-WG03,Watches,This is a simple product called Clamber Watch,"Keep track of time on the treadmill or trail with our Clamber Watch. The flexible, rubberized strap is contoured to conform to your wrist for a comfortable fit all day. The face features an illuminated digital read-out of the current time and stopwatch functions.",Home/Gear/Watches
Circe Hooded Ice Fleece,£68.00,"XS, S, M, L, XL","Gray, Green, Purple",WH12,Performance Fabrics|Clothing,This is a variable product called a Circe Hooded Ice Fleece,"Keep shivers at bay with the Circe Hooded Ice Fleece. Ultra-thick, high-pile fleece traps your body heat and keeps cold outside. The drawstring hood and ribbed details add extra coziness and touches of classic style. Its relaxed fit is loose enough to layer comfortably over your shirt.
Full-zip front. 
Three-panel hood. 
Flatlock seams throughout. 
Welt hand pockets. 
Machine wash/dry.",Home/Clothing/Women/Tops/Hoodies & Sweatshirts|Clothing/Collections/Performance Fabrics|Clothing
Chloe Compete Tank,£39.00,"XS, S, M, L, XL","Blue, Red, Yellow",WT06,Bras & Tanks,This is a variable product called a Chloe Compete Tank,"You’ve earned your figure, so stay cool and let it do all the talking in the form-fitted, sleek racerback Chloe Compete Tank. Designed for total range of motion and performance, the Nona is made with highly breathable mesh fabric.
• Royal blue tank top – nylon/spandex.
• Flatlock stitching.
• Moisture-wicking fabric. 
• Ergonomic seaming. 
• Machine wash/dry.",Home/Clothing/Women/Tops/Bras & Tanks
Celeste Sports Bra,£39.00,"XS, S, M, L, XL","Green, Red, Yellow",WB03,Performance Fabrics|Clothing,This is a variable product called a Celeste Sports Bra,"Whatever your goals for the day’s workout, the Celeste Sports Bra lets you do it in comfort and coolness, plus enhanced support and shaping. A power mesh back zone and moisture-wicking fabric ensure you stay dry.
• Mint bra top. 
• Seam-free interior molded cups
• Odor control. 
• UV protection. 
• Machine wash/dry.",Home/Clothing/Women/Tops/Bras & Tanks|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Performance Fabrics|Clothing
Chaz Kangeroo Hoodie,£52.00,"XS, S, M, L, XL","Black, Gray, Orange",MH01,Eco Friendly|Clothing,This is a variable product called a Chaz Kangeroo Hoodie,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.
• Two-tone gray heather hoodie.
• Drawstring-adjustable hood. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Hoodies & Sweatshirts|Clothing/Collections/Eco Friendly|Clothing
Cassius Sparring Tank,£18.00,"XS, S, M, L, XL",Blue,MT12,Tanks,This is a variable product called a Cassius Sparring Tank,"Whether you’re up against a partner or the clock, the Cassius Sparring Tank is in your corner, moving effortless with your body. The light and loose feel gives you no reason to give up before the bell or the end of the block.
• Royal crewneck cotton tank.
• Contrast stitching.
• Self fabric binding at neckline.
• Slim fit.
• 96% Merino / 4% LYCRA®.",Home/Clothing/Men/Tops/Tanks
Mars HeatTech™ Pullover,£66.00,"XS, S, M, L, XL","Black, Orange, Red",MJ10,Jackets,This is a variable product called a Mars HeatTech™ Pullover,"The Mars HeatTech™ Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.
• Red 1/4 zip pullover.
• Adjustable VELCRO® sleeve cuffs. 
• Two hand pockets. 
• Napoleon pocket. 
• Machine wash/dry",Home/Clothing/Men/Tops/Jackets
Luma Analog Watch,£43.00,Recreation,Women,24-WG09,Watches,This is a simple product called Luma Analog Watch,"Designed to stand up to your active lifestyle, this women’s Luma Analog Watch features a tasteful brushed chrome finish and a stainless steel, water-resistant construction for lasting durability.",Home/Gear/Watches
Marco Lightweight Active Hoodie,£74.00,"XS, S, M, L, XL","Blue, Green, Lavender",MH13,Hoodies & Sweatshirts,This is a variable product called a Marco Lightweight Active Hoodie,"For cold-weather training or post-game layering, you need something more than a basic fleece. Our Marco Lightweight Active Hoodie brings both style and performance to the plate, court, or touchline. The smooth-faced, brushed-back fabric blocks wind and traps body heat, while integrated Cocona® fibers pull moisture away.
• Light blue heather full zip hoodie.
• Fitted flatlock seams.
• Matching lining and drawstring. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Hoodies & Sweatshirts
Mach Street Sweatshirt,£62.00,"XS, S, M, L, XL","Black, Blue, Red",MH10,Hoodies & Sweatshirts,This is a variable product called a Mach Street Sweatshirt ,"From hard streets to asphalt track, the Mach Street Sweatshirt holds up to wear and wind and rain. An infusion of performance and stylish comfort, with moisture-wicking LumaTech™ fabric, it’s bound to become an everyday part of your active lifestyle
• Navy heather crewneck sweatshirt.
• LumaTech™ moisture-wicking fabric.
• Antimicrobial, odor-resistant.
• Zip hand pockets.
• Chafe-resistant flatlock seams.
• Rib-knit cuffs and hem.",Home/Clothing/Men/Tops/Hoodies & Sweatshirts
Lucia Cross-Fit Bra,£39.00,"XS, S, M, L, XL","Black, Orange, Purple",WB05,Bras & Tanks,This is a variable product called a Lucia Cross-Fit Bra ,"Being cool is a big part of being comfy, which is why the Lucia Cross-Fit Bra features moisture-wicking technology as well as soft, lightweight fabric.
• Black/white bra top. 
• Criss-cross back design. 
• Machine wash/dry.",Home/Clothing/Women/Tops/Bras & Tanks
Lono Yoga Short,£32.00,"32, 33, 34, 36","Blue, Gray, Red",MSH06,New Luma Yoga Collection|Clothing,This is a variable product called a Lono Yoga Short,"Some shorts are “all-purpose,” while the Lono Yoga Short has a single purpose: yoga. Soft, flexible outer material moves with your body, and a secure, integrated boxer brief liner gives you extra confidence as you push your physique to the outer limits.
• Dark gray shorts with mesh accents.
• Ultra flexible four-way stretch.
• Flatlock seams and waistband.
• Two pockets, phony fly.
• Nylon/Lycra outer, Polyester/Lycra inner.",Home/Clothing/Men/Bottoms/Shorts|Clothing/Collections/New Luma Yoga Collection|Clothing
Livingston All-Purpose Tight,£75.00,"32, 33, 34, 36","Black, Blue, Red",MP09,Erin Recommends|Clothing,This is a variable product called a Livingston All-Purpose Tight,"It’s not often that your pants work as a yoga staple and a climbing buddy. The Livingston All-Purpose Tight is made with soft, 11% cotton and nylon polymer stretch construction that lets you find the right angle in the studio or on the mountain side.
• Breathable stretch organic cotton/spandex.
• Compression fit
• Hidden key pocket
• Elastic waist with internal drawcord.",Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Erin Recommends|Clothing
